Metric,Linear Regression,LASSO Regression (α=0.0498),Ridge Regression (α=15.1991),Best Model
test_r2,0.3685,0.3902,0.3894,LASSO Regression
test_mse,0.7260,0.7011,0.7020,LASSO Regression
rmse,0.8521,0.8373,0.8378,LASSO Regression
mae,0.6547,0.6413,0.6424,LASSO Regression
adj_r2,0.2854,0.2913,0.2707,LASSO Regression
