Variable,N,Mean,Std,Skewness,Kurtosis,Shapiro_p,JB_p
TA,109,2.4129,1.7219,1.5927,4.4609,0.0000,0.0000
Inflation,109,0.0414,0.0226,0.7087,-0.8738,0.0000,0.0018
TL,109,0.7346,0.5997,0.8728,0.0242,0.0000,0.0010
PPE,109,2.1255,1.743,1.1042,0.7161,0.0000,0.0000
SOxEmission,109,0.1567,0.3053,4.0304,20.2251,0.0000,0.0000
ROE,109,0.1507,0.3071,-2.2345,16.4685,0.0000,0.0000
